id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8657,HOTEL AZ 福岡久留米店,/yad357583/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=357583&callbackHistFlg=1,御井駅より徒歩４分。九州自動車道「久留米IC」より車で約5分。2段ベッドのお部屋もお子様を中心に大好評！コインランドリー完備で、スポーツ団体のお客様にも好評です。,【アクセス】博多駅より新幹線利用で約30分。九州自動車道「久留米IC」より、久留米で約5分。,エリア ： 福岡県 > 久留米,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥7,000〜","（￥3,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8658,エンナンホテル,/yad363724/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=363724&callbackHistFlg=1,「おかえりなさいませ」をモットーに、女性スタッフが笑顔で対応致します。ウエルカムコーヒー、モーニングコーヒーもサービス！ダブルベッドで、ゆっくりとおくつろぎ下さいませ。,【アクセス】西鉄久留米駅から徒歩２分　ＪＲ久留米駅から車で５分　久留米インターから車で１５分,エリア ： 福岡県 > 久留米,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥4,444〜","（￥2,222〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8659,ハイネスホテル久留米,/yad397648/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=397648&callbackHistFlg=1,ホテルを出ると駅はすぐ目の前。福岡天神まで電車で３０分圏内とビジネス・観光においてアクセス抜群！朝食はパン＆ソフトドリンクが無料サービスにてご利用頂けます。,【アクセス】西鉄久留米駅東口広場より徒歩0分。JR久留米駅より車で5分。九州道久留米ICより車で15分,エリア ： 福岡県 > 久留米,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥5,000〜","（￥2,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8660,延命館,/yad313921/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=313921&callbackHistFlg=1,"お肌に嬉しい成分が２種類と炭酸成分が入ったトロトロの温泉\Ｗ美肌の湯\""と、和洋のテイストを織り交ぜた料理は老若男女に大人気！全客室からは雄大な筑後川が一望でき、そこに沈みゆく夕陽は必見です！""",【アクセス】大分道杷木ICより車で6分。JR久大本線筑後吉井駅より車で１０分。（バス停、駅まで無料送迎有）,エリア ： 福岡県 > 原鶴・筑後川,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥16,000〜","（￥8,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8661,六峰舘,/yad315474/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=315474&callbackHistFlg=1,耳納連山を背景に、全客室より見渡せる筑後川は好評。お部屋から川の流れとのどかな時の流れをお楽しみ頂けます。露天風呂付客室も完備ちょっぴり贅沢なひとときを・・・ＪＲまたは高速バス無料送迎有,【アクセス】JR筑後吉井駅より車で10分。西鉄高速バス日田行き杷木バス停下車後車で5分。送迎有り要連絡。,エリア ： 福岡県 > 原鶴・筑後川,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥16,000〜","（￥8,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8662,くつろぎの宿　泰泉閣,/yad323391/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=323391&callbackHistFlg=1,宿名物「ジャングル風呂」をはじめ、貸切露天風呂「滝見の湯」、ミストサウナのある「雅の湯」など趣向の異なったお風呂が老若男女人気です★宿泊・日帰昼食などプラン多数あり目的に合わせ幅広く利用可！,【アクセス】【バス】日田行き高速バス→杷木バス停より車で５分【ＪＲ】久大線筑後吉井駅より車で８分※送迎有り要連絡,エリア ： 福岡県 > 原鶴・筑後川,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥12,000〜","（￥6,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8663,桑之屋,/yad355994/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=355994&callbackHistFlg=1,客室、お風呂から筑後川を望める絶景のロケーション。お湯は源泉かけ流しで、じゃらん口コミでも高評価を頂いております！『福岡よかとこ旅行券』ご利用頂けます。,【アクセス】大分自動車道、杷木ICより車で３分。博多から日田行き高速バス杷木バス停下車、車で3分。送迎有り要連絡。,エリア ： 福岡県 > 原鶴・筑後川,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥9,000〜","（￥4,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8664,畳風呂と日本庭園の宿　ホテルパーレンス小野屋,/yad360864/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=360864&callbackHistFlg=1,福岡市内から60分。畳風呂と日本庭園を備える創業133年の老舗旅館。バリアフリーの設備なども兼ね備える『人にやさしい宿』。朝食ランキングに入賞した“九州バイキング”が評判の宿。日帰りプランも人気！,【アクセス】大分自動車道・杷木ＩＣより約5分！JR筑後吉井駅（車で約10分）、高速杷木バス停まで無料送迎致します。,エリア ： 福岡県 > 原鶴・筑後川,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥10,000〜","（￥5,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8665,秋月温泉　料亭旅館　清流庵,/yad362440/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=362440&callbackHistFlg=1,福岡の奥座敷小京都秋月に佇む静かなお宿です。四季の花木や滝、池を配した庭園の中にひっそりとございます。日々の疲れをゆっくりと癒してください。,【アクセス】甘木鉄道　甘木駅から甘木観光バス「秋月」行きに乗車→約２０分,エリア ： 福岡県 > 原鶴・筑後川,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥46,000〜","（￥23,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8666,ホテルグランスパ　アベニュー,/yad370042/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=370042&callbackHistFlg=1,西鉄甘木駅、甘木鉄道甘木駅より徒歩１分！11個の貸切風呂や大浴場で、かけ流しのｐＨ10.0ぬるぬる天然温泉を満喫。マッサージチェアや、温泉の湧き出す客室もありビジネスもレジャーもお勧め,【アクセス】西鉄甘木駅又は甘木鉄道甘木駅下車、徒歩１分/大分道甘木ＩＣより車で７分,エリア ： 福岡県 > 原鶴・筑後川,2016-03-28 01:18:27,2016-03-28 01:18:27,"￥6,620〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
