id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534,ホテルニュー埼玉,/yad357309/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=357309&callbackHistFlg=1,駅近１分！コンビニやスーパーも徒歩圏内！アクセス便利で、夜は静かな好立地。シングルは全室セミダブルベッドを使用。ツインもゆとりのある広さでのびのび。全館Wi-Fi完備でインターネット接続無料！,【アクセス】JR京浜東北線、武蔵野線南浦和駅東口より徒歩1分,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥9,074〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535,HOTELメイン,/yad375878/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=375878&callbackHistFlg=1,ＪＲ大宮駅前（そごう大宮店隣）に位置し、アクセス至便なビジネスホテル。ビジネスはもちろん近隣のイベント会場への拠点として是非ご利用ください。２０１４年４月、全室リニューアルしました。,【アクセス】ＪＲ大宮駅西口より徒歩１分／首都高速埼玉大宮線・新都心西ICより大宮駅方面へ約５分,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥10,000〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536,ホテルメッツ浦和＜JR東日本ホテルズ＞,/yad385408/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=385408&callbackHistFlg=1,全室にwi-fiを設置し、有線・無線インターネット無料。また加湿機能付空気清浄機、携帯電話充電器、シモンズベッド、テンピュール枕、ズボンプレッサー、リセッシュを完備。全プラン朝食付き。,【アクセス】JR浦和駅徒歩1分！西口を出て左にある交番の目の前。１Ｆはデニーズです。,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥9,166〜","（￥4,583〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537,マロウドイン大宮,/yad393640/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=393640&callbackHistFlg=1,さいたま新都心へもアクセス抜群！館内には本格的中国料理レストラン、近隣に飲食店、コンビニエンスストアも多数ございます。ビジネスに、レジャーに、大宮を拠点にするなら、マロウドイン大宮へ。,【アクセス】大宮駅西口より徒歩３分,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥9,907〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,スーパーホテルさいたま・大宮,/yad395030/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=395030&callbackHistFlg=1,JR大宮駅西口改札から徒歩約10分の好立地のビジネスホテル。全客室1500幅広ダブルベッド、ネット接続無料、Wi-Fi全室対応。健康朝食無料サービス。天然温泉（男女入替制）無料！！,【アクセス】電車/大宮駅西口徒歩約10分　車/首都高速埼玉大宮線新都心西IC〜3つ目の信号を大宮駅方面へ3分,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥7,388〜","（￥3,694〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,浦和ワシントンホテル,/yad397986/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=397986&callbackHistFlg=1,宿泊、宴会、会議、レストラン(法事・慶事）など、様々な用途に対応可能なホテルです,【アクセス】JR浦和駅西口を出て正面　県庁通りを直進　3つ目大きなスクランブル交差点を渡らず左に曲がり直ぐ左手,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥10,148〜","（￥5,074〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540,ビジネス旅館三幸園,/yad399878/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=399878&callbackHistFlg=1,駐車場無料のホテルです！大宮公園や大宮駅にも近いので、団体様やビジネスマンの方にも最適です。高さ制限無しの無料駐車場有り！,【アクセス】北大宮駅から徒歩３分、大宮駅から徒歩15分、車３分,エリア ： 埼玉県 > さいたま,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥11,111〜","（￥5,555〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541,ビジネスホテル岡本越谷店,/yad326917/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=326917&callbackHistFlg=1,春日部・松伏・野田方面へのアクセスが良好な立地にございます。ビジネスユース、レジャーユースどちらでもご利用いただけます。※防犯上、深夜１時門限となっております。ご了承下さいませ※,【アクセス】東武伊勢崎線　越谷駅下車　徒歩で五分。/49号線（旧国道4号線）、「越谷二丁目（北）」曲がってすぐ左側,エリア ： 埼玉県 > 越谷,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥8,518〜","（￥4,259〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542,ビジネスホテル雷鳥,/yad349673/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=349673&callbackHistFlg=1,"越谷駅近！でレイクタウン,野田,せんげん台,春日部,埼スタへ絶好の立地条件です。24時間ﾌﾛﾝﾄ係がおりますので遅いＩＮでも安心です。ｺｲﾝﾗﾝﾄﾞﾘｰや無料製氷機もあり♪長期滞在・ご家族の方にも◎",【アクセス】東武スカイツリーライン　越谷駅から徒歩１分。東口を出て正面ＵＦＪ銀行手前の通りを右折です。,エリア ： 埼玉県 > 越谷,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥8,981〜","（￥4,490〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,ビジネスホテル藤家,/yad375066/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=375066&callbackHistFlg=1,東武伊勢崎線、春日部駅西口より徒歩5分。洋室、和室、大部屋、とお客様のニーズに合わせたお部屋を提供しております。,【アクセス】春日部駅西口　徒歩5分,エリア ： 埼玉県 > 越谷,2016-03-28 04:17:35,2016-03-28 04:17:35,"￥8,148〜",（￥-/室）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
