id,building_name,image_url,detail,access,address,created_at,updated_at,fee1,fee2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7632,ザ・ビーお茶の水（the b ochanomizu）,/yad327354/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=327354&callbackHistFlg=1,閑静なエリアにあり、女性お1人でも安心してご宿泊できるスタイリッシュなホテルです。秋葉原、丸ノ内、東京ドームまでも近く、ビジネス、レジャー問わず幅広くご利用いただけます。,【アクセス】地下鉄淡路町駅・小川町駅A5出口徒歩1分。地下鉄新御茶ノ水駅B3出口徒歩3分。ＪＲ御茶ノ水駅聖橋口徒歩6分,エリア ： 東京都 > お茶の水・湯島・本郷,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7633,お茶の水イン,/yad328108/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=328108&callbackHistFlg=1,【外壁及び防水工事のお知らせ】★工事期間　2016年2月29日(月)〜2016年4月28日(木)詳しくはプラン詳細をご確認下さい。　　東京のほぼ中央に位置し東京ドームは徒歩圏、舞浜へは35分,【アクセス】JR御茶ノ水駅聖橋口、地下鉄丸ノ内線御茶ノ水駅、千代田線新御茶ノ水駅いずれも聖橋を渡って徒歩3分。,エリア ： 東京都 > お茶の水・湯島・本郷,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥6,759〜","（￥3,379〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7634,お茶の水セントヒルズホテル,/yad329365/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=329365&callbackHistFlg=1,お茶の水なら交通便利。2015年7月全館改装工事完了。客室からインターネットに有線LANとWi-Fi接続無料！焼きたてパンとコーヒー、オレンジジュースの朝食無料。東京消防庁優良防火対象物認定！,"【アクセス】JR中央,総武線・地下鉄丸ノ内線御茶ノ水駅、地下鉄千代田線新御茶ノ水駅、地下鉄銀座線末広町駅〜徒歩５分",エリア ： 東京都 > お茶の水・湯島・本郷,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥12,500〜","（￥6,250〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7635,リッチモンドホテル東京水道橋,/yad332210/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=332210&callbackHistFlg=1,リッチモンドホテルズ新規オープン♪ビジネスにもレジャーにも好立地！東京ドームへ徒歩２分！地下鉄３路線/水道橋・後楽園・春日駅から徒歩５分、ＪＲ水道橋駅から８分。,【アクセス】地下鉄水道橋・後楽園・春日駅から徒歩５分、JR水道橋駅から徒歩8分、ドン・キホーテ後楽園店の上,エリア ： 東京都 > お茶の水・湯島・本郷,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥8,796〜","（￥4,398〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7636,すえひろの湯　ドーミーイン秋葉原,/yad333285/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=333285&callbackHistFlg=1,■ドーミーイン秋葉原リニューアルオススメスペック■【1】全客室シモンズベッド完備　【2】レストラン全面リニューアル　和食、洋食から選べるプレートに【3】秋葉原にツインルームがいよいよ登場,【アクセス】JR秋葉原駅より徒歩5分。東京メトロ銀座線末広町駅より徒歩1分。,エリア ： 東京都 > お茶の水・湯島・本郷,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥9,250〜","（￥4,625〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7637,相鉄フレッサイン　御茶ノ水神保町,/yad333672/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=333672&callbackHistFlg=1,Wi-Fi全室無料♪加湿機能付空気清浄機を全室設置♪神保町駅　徒歩3分、御茶ノ水駅　徒歩8分の好立地♪女性には嬉しい化粧水、乳液、洗顔付き♪非接触型ICカードキーで万全のセキュリティの快適空間♪,【アクセス】神保町駅より徒歩3分！御茶ノ水駅より徒歩8分！,エリア ： 東京都 > お茶の水・湯島・本郷,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥7,407〜","（￥3,703〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7638,フォーレスト本郷,/yad369560/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=369560&callbackHistFlg=1,東京大学の正門からすぐ。東京メトロ東大前駅・本郷三丁目駅より徒歩圏内。新宿・東京・池袋へは30分以内。シングルは18,,エリア ： 東京都 > お茶の水・湯島・本郷,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥10,648〜","（￥5,324〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7639,鳳明館　本館・台町別館,/yad392496/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=392496&callbackHistFlg=1,都内とは思えない庭のある閑静な純和風旅館の台町別館と有形文化財の本館。そんな非日常を御用意しております。,【アクセス】東京駅から地下鉄丸の内線で７分本郷三丁目駅から本郷通りを東京大学方面に徒歩１０分,エリア ： 東京都 > お茶の水・湯島・本郷,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥12,037〜","（￥6,018〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7640,お茶の水ホテル　昇龍館,/yad393600/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=393600&callbackHistFlg=1,JRの他、地下鉄5路線の駅まで徒歩5分。武道館や秋葉原、東京ドーム、神保町本屋街も徒歩圏内。洋室の他、和室、露天風呂付客室もあり、観光にも最適！大浴場、サウナ（男性のみ）あり。,【アクセス】JR御茶ノ水駅の他、地下鉄半蔵門線、丸の内線、千代田線、都営新宿線、三田線の駅まで徒歩5分。,エリア ： 東京都 > お茶の水・湯島・本郷,2016-03-28 04:17:58,2016-03-28 04:17:58,"￥9,000〜","（￥4,500〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7641,伊豆大島　ホテル＆リゾート　マシオ,/yad304260/?stayCount=1&roomCount=1&adultNum=2&stayDay=&stayYear=&stayMonth=&dateUndecided=1&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304260&callbackHistFlg=1,眼下に広がる黒潮の大海原、生い茂る緑の香り、木々のざわめき。鳥たちの歌声に耳をかたむけ、風に触れる。つかの間、ゆるやかに心と体をときほぐし、静かな時をおすごしください。五感をときはなして,【アクセス】大島元町港より車で約５分、岡田港より車で２０分、大島空港より車で１５分,エリア ： 東京都 > 伊豆七島・小笠原,2016-03-28 04:17:59,2016-03-28 04:17:59,"￥28,000〜","（￥14,000〜/人）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
